NCM*,Alíquota(%),Descrição,Início de Vigência,Categoria
3705.00.10,"7,2","Fotomáscaras sobre vidro plano, positivas, próprias para gravação em pastilhas de silício (chips) para fabricação de microestruturas eletrônicas",01/03/2026,Eletrônica/Semicondutores
6909.12.20,"7,2",Guias de agulhas para cabeças de impressão,01/03/2026,Outros/Geral
6909.19.20,"7,2",Guias de agulhas para cabeças de impressão,01/03/2026,Outros/Geral
7116.20.20,"7,2","Guias de agulhas, de rubi, para cabeças de impressão",01/03/2026,Outros/Geral
7308.10.00,20,-Pontes e elementos de pontes,06/02/2026,Outros/Geral
7308.20.00,20,-Torres e pórticos,06/02/2026,Outros/Geral
7309.00.10,20,Para armazenamento de grãos e outras matérias sólidas,06/02/2026,Outros/Geral
7309.00.20,"7,2","Recipientes isotérmicos refrigerados a nitrogênio (azoto) líquido, do tipo utilizado para sêmen, sangue, tecidos biológicos e outros produtos semelhantes",01/03/2026,Médico/Hospitalar
7309.00.90,20,Outros,06/02/2026,Outros/Geral
7410.11.12,"7,2","De espessura inferior ou igual a 0,04 mm e uma resistividade elétrica inferior ou igual a 0,017241 ohm.mm2/m",01/03/2026,Outros/Geral
7410.11.13,"12,6","Outras, de espessura inferior ou igual a 0,04 mm",06/02/2026,Outros/Geral
7410.11.19,"12,6",Outras,06/02/2026,Outros/Geral
7410.21.10,"7,2","Com suporte isolante de resina epóxida e fibra de vidro, do tipo utilizado para circuitos impressos",01/03/2026,Outros/Geral
7410.21.20,"7,2","Com espessura superior a 0,012 mm, sobre suporte de poliéster ou poliimida e com espessura total, incluindo o suporte, inferior ou igual a 0,195 mm",01/03/2026,Outros/Geral
7410.21.30,"7,2","Com suporte isolante de resina fenólica e papel, do tipo utilizado para circuitos impressos",01/03/2026,Outros/Geral
8207.30.00,20,"-Ferramentas de embutir, de estampar ou de puncionar",06/02/2026,Industrial/Maquinário
8401.10.00,20,-Reatores nucleares,06/02/2026,Industrial/Maquinário
8401.20.00,20,"-Máquinas e aparelhos para a separação de isótopos, e suas partes",06/02/2026,Industrial/Maquinário
8402.11.00,20,--Caldeiras aquatubulares com produção de vapor superior a 45 t por hora,06/02/2026,Industrial/Maquinário
8402.12.00,20,--Caldeiras aquatubulares com produção de vapor não superior a 45 t por hora,06/02/2026,Industrial/Maquinário
8402.19.00,20,"--Outras caldeiras para produção de vapor, incluindo as caldeiras mistas",06/02/2026,Industrial/Maquinário
8402.20.00,20,"-Caldeiras denominadas ""de água superaquecida""",06/02/2026,Industrial/Maquinário
8402.90.00,20,-Partes,06/02/2026,Industrial/Maquinário
8403.10.90,20,Outras,06/02/2026,Industrial/Maquinário
8403.90.00,20,-Partes,06/02/2026,Industrial/Maquinário
8404.10.10,20,Da posição 84.02,06/02/2026,Industrial/Maquinário
8404.10.20,20,Da posição 84.03,06/02/2026,Industrial/Maquinário
8404.20.00,20,-Condensadores para máquinas a vapor,06/02/2026,Industrial/Maquinário
8404.90.10,20,De aparelhos auxiliares para caldeiras da posição 84.02,06/02/2026,Industrial/Maquinário
8404.90.90,20,Outras,06/02/2026,Industrial/Maquinário
